speaker_id;file_name;sample_name;birth_place;native_langs;other_langs;age;sex;age_of_english_onset;english_learning_method;english_residence;years_of_english_residence;class_labels;primary_lang_group;secondary_lang_group;primary_lang_group_id;secondary_lang_group_id9;albanian1;albanian1;prishtina, kosovo;albanian;serbian macedonian bosnian;19;male;6;naturalistic;usa;3;0;Indo-European;Albanian;4;6
10;albanian2;albanian2;tirana, albania;albanian;german italian;33;male;15;naturalistic;usa;0.04;0;Indo-European;Albanian;4;6
11;albanian3;albanian3;tirana, albania;albanian;italian french russian greek spanish;44;male;35;naturalistic;usa;9;0;Indo-European;Albanian;4;6
12;albanian4;albanian4;mitrovice, kosovo;albanian;german serbian;33;male;28;academic;usa;5;0;Indo-European;Albanian;4;6
13;albanian5;albanian5;vlore, albania;albanian;italian;31;male;11;academic;usa;8;0;Indo-European;Albanian;4;6
14;albanian6;albanian6;prishtina, kosovo;albanian;serbian;25;female;11;academic;usa;10;0;Indo-European;Albanian;4;6
15;albanian7;albanian7;prishtina, kosovo;albanian;serbian;45;female;11;academic;usa;12;0;Indo-European;Albanian;4;6
16;albanian8;albanian8;prishtina, kosovo;albanian;serbian;43;female;9;academic;usa;13;0;Indo-European;Albanian;4;6
17;albanian9;albanian9;tirana, albania;albanian;german italian french spanish latin;22;female;6;naturalistic;usa;1.4;0;Indo-European;Albanian;4;6
18;albanian10;albanian10;elbasan, albania;albanian;french;30;male;11;naturalistic;usa;19;0;Indo-European;Albanian;4;6
19;albanian11;albanian11;gjilan, kosovo;albanian;spanish;24;female;13;academic;usa;8;0;Indo-European;Albanian;4;6
20;albanian12;albanian12;tirana, albania;albanian;italian;51;male;14;naturalistic;usa;27;0;Indo-European;Albanian;4;6
21;albanian13;albanian13;durres, albania;albanian;spanish;18;female;8;academic;usa;4;0;Indo-European;Albanian;4;6
22;albanian14;albanian14;tirana, albania;albanian;italian;23;female;9;academic;usa;4;0;Indo-European;Albanian;4;6
27;amharic1;amharic1;addis ababa, ethiopia;amharic;none;20;female;5;academic;usa;2;1;Afro-Asiatic;Semitic;0;1
28;amharic2;amharic2;arba minch, ethiopia;amharic;gamugna;23;male;7;academic;usa;2;1;Afro-Asiatic;Semitic;0;1
29;amharic3;amharic3;addis ababa, ethiopia;amharic;oromo;27;male;8;academic;usa;4;1;Afro-Asiatic;Semitic;0;1
30;amharic4;amharic4;addis ababa, ethiopia;amharic;none;20;male;7;academic;usa;2;1;Afro-Asiatic;Semitic;0;1
31;amharic5;amharic5;addis ababa, ethiopia;amharic;russian;31;male;7;academic;usa;3;1;Afro-Asiatic;Semitic;0;1
32;amharic6;amharic6;addis ababa, ethiopia;amharic;tigrigna;31;female;4;academic;usa;1;1;Afro-Asiatic;Semitic;0;1
33;amharic7;amharic7;addis ababa, ethiopia;amharic;kiswahili;38;male;13;academic;kenya, usa;10;1;Afro-Asiatic;Semitic;0;1
34;amharic8;amharic8;addis ababa, ethiopia;amharic;arabic;30;female;12;academic;usa;20;1;Afro-Asiatic;Semitic;0;1
35;amharic9;amharic9;addis ababa, ethiopia;amharic;arabic;40;male;12;academic;kenya, usa;7;1;Afro-Asiatic;Semitic;0;1
36;amharic10;amharic10;gonder, ethiopia;amharic;none;29;female;19;naturalistic;usa;10;1;Afro-Asiatic;Semitic;0;1
37;amharic11;amharic11;addis ababa, ethiopia;amharic;harari;24;female;17;academic;usa;9;1;Afro-Asiatic;Semitic;0;1
38;amharic12;amharic12;addis ababa, ethiopia;amharic;none;26;female;15;academic;usa;10;1;Afro-Asiatic;Semitic;0;1
39;amharic13;amharic13;addis ababa, ethiopia;amharic;none;28;female;6;academic;usa;9;1;Afro-Asiatic;Semitic;0;1
40;amharic14;amharic14;addis ababa, ethiopia;amharic;none;31;male;12;academic;usa;11;1;Afro-Asiatic;Semitic;0;1
41;amharic15;amharic15;addis ababa, ethiopia;amharic;tigrigna;23;male;6;academic;usa;1;1;Afro-Asiatic;Semitic;0;1
42;amharic16;amharic16;werder, ethiopia;amharic;none;36;male;11;academic;usa;10;1;Afro-Asiatic;Semitic;0;1
43;amharic17;amharic17;addis ababa, ethiopia;amharic;tigrigna;21;male;9;academic;usa;10;1;Afro-Asiatic;Semitic;0;1
44;amharic18;amharic18;addis ababa, ethiopia;amharic;french tigrigna;20;female;2;naturalistic;usa;7;1;Afro-Asiatic;Semitic;0;1
45;amharic19;amharic19;tefki, ethiopia;amharic;oromo;19;female;10;academic;usa;9;1;Afro-Asiatic;Semitic;0;1
46;amharic20;amharic20;addis ababa, ethiopia;amharic;french;52;female;24;academic;usa;1;1;Afro-Asiatic;Semitic;0;1
47;amharic21;amharic21;addis ababa, ethiopia;amharic;none;24;male;15;academic;usa;6;1;Afro-Asiatic;Semitic;0;1
48;amharic22;amharic22;addis ababa, ethiopia;amharic;none;35;female;12;academic;usa;5;1;Afro-Asiatic;Semitic;0;1
49;amharic23;amharic23;addis ababa, ethiopia;amharic;none;32;male;10;academic;usa;3;1;Afro-Asiatic;Semitic;0;1
50;amharic24;amharic24;addis ababa, ethiopia;amharic;arabic spanish;19;male;11;naturalistic;usa;8;1;Afro-Asiatic;Semitic;0;1
51;amharic25;amharic25;addis ababa, ethiopia;amharic;arabic;24;female;21;academic;usa;3;1;Afro-Asiatic;Semitic;0;1
52;amharic26;amharic26;addis ababa, ethiopia;amharic;tigrigna;30;female;23;naturalistic;usa;7;1;Afro-Asiatic;Semitic;0;1
53;amharic27;amharic27;addis ababa, ethiopia;amharic;none;18;female;5;naturalistic;usa;11;1;Afro-Asiatic;Semitic;0;1
54;arabic1;arabic1;riyadh, saudi arabia;arabic;none;38;female;12;academic;usa;4;2;Afro-Asiatic;Semitic;0;1
55;arabic10;arabic10;cairo, egypt;arabic;french german;26;male;5;academic;usa;2;2;Afro-Asiatic;Semitic;0;1
56;arabic11;arabic11;monastir, tunisia;arabic;french;30;female;14;academic;usa;4;2;Afro-Asiatic;Semitic;0;1
57;arabic12;arabic12;baghdad, iraq;arabic;none;32;male;11;academic;usa;8;2;Afro-Asiatic;Semitic;0;1
58;arabic13;arabic13;zabbougha, lebanon;arabic;french swedish;25;male;15;academic;usa;1;2;Afro-Asiatic;Semitic;0;1
59;arabic2;arabic2;damascus, syria;arabic;none;18;male;2.5;naturalistic;usa;3;2;Afro-Asiatic;Semitic;0;1
60;arabic3;arabic3;doha, qatar;arabic;none;24;male;9;academic;usa;1;2;Afro-Asiatic;Semitic;0;1
